Item ID (Shopline),Name,Google Category,Google Sub Category,Google third layer Category
633515ada9044d0025855f1e,【3盒優惠裝】男補Energie 秘魯黑鑽瑪卡膠囊組合,string:health_beauty,string:health_care,string:medicine_drugs
63350d6670d200001c21060a,TENGA AIR-TECH 無限享樂套裝,string:health_beauty,string:health_care,string:condoms
633508400567f00019e977c9,【6盒優惠裝】岡本 0.01 安全套 大碼 18 片 套裝,string:health_beauty,string:health_care,string:condoms
633505952dfc440010835646,【6盒優惠裝】岡本 0.01 安全套 18 片 套裝,string:health_beauty,string:health_care,string:condoms
6333f9f7ac4b5200162baab3,TENGA AIR-TECH 套裝,string:mature,string:erotic,string:sex_toys
6333f82aac4b521f9b2ba768,【2盒套裝】岡本& 相模 0.01 套裝 8 片組合,string:health_beauty,string:health_care,string:condoms
6333df361df7f6001c02bd49,TENGA FLIP 0 (ZERO) 黑色 電動版 + HOLE LOTION 4種類 組合,string:mature,string:erotic,string:sex_toys
6333bb861f2cfc002e4d7d22,TENGA FLIP (0) ZERO 黑色 + HOLE LOTION 4種類 組合,string:mature,string:erotic,string:sex_toys
6332d6d60cfd37001c6feef0,Doctoreyes 愛滋病、梅毒及乙型肝炎快速檢驗器套裝,string:health_beauty,string:health_care,string:medical_tests
632d7957908b480010057b96,Relove 零毛髮美肌組 脫毛保濕護理優惠套裝,string:health_beauty,string:personal_care,string:shaving_grooming
632c406fa02edf0010195d18,[高用量套裝] TENGA FLIP 0 (ZERO) GRAVITY 零重力完美組合,string:mature,string:erotic,string:sex_toys
632c3be80b54cc001095eaf1,【終極增強增大組合】 Titan Gel Gold 增大凝膠 + Big Boy XXL 增大丸 (4膏1丸,string:health_beauty,string:health_care,string:medicine_drugs
632c26cbb653780019712d4f,【終極增強增大孖寶】Cobeco Big Boy Golden XXL 男士增大丸 45粒 & Cobeco,string:health_beauty,string:health_care,string:medicine_drugs
